Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,529.0,635.0,25.6,70.0,,,,,Blond&-1984-A530a,,,1,0,Blond&
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,473.0,605.0,28.8,73.0,,,,,Blond&-1984-A530b,,,1,0,Blond&
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,557.0,658.0,23.8,68.5,,,,,Blond&-1984-A530c,,,1,0,Blond&
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,,,,,-40.0,96.0,,,Blond&-1984-A530d,,,1,0,Blond&
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,,,,,-79.0,40.0,,,Blond&-1984-A530e,,,1,0,Blond&
0.084,0.415,1.24,0.011,0.015,0.05,0.037,0.385,,0.105,,,480.0,,86.0,,,,60.0,150.0,5.0,,,1.0,2.4,100,SA,550.0,1.83,,,,,,,,-51.0,Blond&-1984-A530f,,,1,0,Blond&
0.084,0.3,0.54,0.005,0.008,0.036,2.2,1.05,,0.035,,,660.0,,66.0,,,,40.0,70.0,4.0,,,1.0,2.4,175,SA,690.0,2.33,496.0,638.0,23.3,73.0,,,,,Blond&-1984-10CD9.10a,,,1,0,Blond&
0.084,0.3,0.54,0.005,0.008,0.036,2.2,1.05,,0.035,,,660.0,,66.0,,,,40.0,70.0,4.0,,,1.0,2.4,175,SA,690.0,2.33,524.0,664.0,23.6,66.5,,,,,Blond&-1984-10CD9.10b,,,1,0,Blond&
0.084,0.3,0.54,0.005,0.008,0.036,2.2,1.05,,0.035,,,660.0,,66.0,,,,40.0,70.0,4.0,,,1.0,2.4,175,SA,690.0,2.33,530.0,653.0,21.5,69.0,,,,,Blond&-1984-10CD9.10c,,,1,0,Blond&
0.084,0.3,0.54,0.005,0.008,0.036,2.2,1.05,,0.035,,,660.0,,66.0,,,,40.0,70.0,4.0,,,1.0,2.4,175,SA,690.0,2.33,,,,,0.0,118.0,,,Blond&-1984-10CD9.10d,,,1,0,Blond&
0.084,0.3,0.54,0.005,0.008,0.036,2.2,1.05,,0.035,,,660.0,,66.0,,,,40.0,70.0,4.0,,,1.0,2.4,175,SA,690.0,2.33,,,,,-50.0,40.0,,,Blond&-1984-10CD9.10e,,,1,0,Blond&
