Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.064,0.27,1.44,0.021,0.024,,,0.02,0.009,0.28,,,590.0,,102.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,388.0,497.0,30.0,58.0,,,158.0,,Pat-1981-RE2L/BX200,,,1,0,Pat
0.064,0.27,1.44,0.021,0.024,,,0.02,0.009,0.28,,,590.0,,102.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-60.0,10.0,,,Pat-1981-RE2L/BX200,,,1,0,Pat
0.064,0.27,1.44,0.021,0.024,,,0.02,0.009,0.28,,,590.0,,102.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-50.0,14.0,,,Pat-1981-RE2L/BX200,,,1,0,Pat
0.064,0.27,1.44,0.021,0.024,,,0.02,0.009,0.28,,,590.0,,102.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-20.0,61.0,,,Pat-1981-RE2L/BX200,,,1,0,Pat
0.064,0.27,1.44,0.021,0.024,,,0.02,0.009,0.28,,,590.0,,102.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,0.0,105.0,,,Pat-1981-RE2L/BX200,,,1,0,Pat
0.073,0.33,1.44,0.021,0.018,,,0.02,0.009,0.22,,,563.0,,124.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,383.0,492.0,30.0,66.0,,,155.0,,Pat-1981-S2/BX200,,,1,0,Pat
0.073,0.33,1.44,0.021,0.018,,,0.02,0.009,0.22,,,563.0,,124.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-60.0,40.0,,,Pat-1981-S2/BX200,,,1,0,Pat
0.073,0.33,1.44,0.021,0.018,,,0.02,0.009,0.22,,,563.0,,124.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-50.0,49.0,,,Pat-1981-S2/BX200,,,1,0,Pat
0.073,0.33,1.44,0.021,0.018,,,0.02,0.009,0.22,,,563.0,,124.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,-30.0,99.0,,,Pat-1981-S2/BX200,,,1,0,Pat
0.073,0.33,1.44,0.021,0.018,,,0.02,0.009,0.22,,,563.0,,124.0,,,,,,,625.0,75.36,1.0,4.6,200,TSA,0.0,0.0,,,,,0.0,111.0,,,Pat-1981-S2/BX200,,,1,0,Pat
