,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale
846,0.057,0.62,1.22,0.01,0.012,0.05,0.09,,0.011,,,,1100.0,180.0,43.0,70.0,1.0,30.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,538.0,,,,,,,PakSven-1990-1,,
847,0.053,0.68,1.3,0.01,0.01,0.04,0.06,,0.009,,,,1300.0,170.0,39.0,70.0,1.0,30.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,552.0,,,,,,,PakSven-1990-2,,
848,0.058,0.59,1.12,0.013,0.015,0.03,0.12,,0.015,,,,640.0,80.0,73.0,110.0,1.0,20.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,552.0,,,,,,,PakSven-1990-3,,
849,0.053,0.7,1.28,0.013,0.015,0.03,0.1,,0.015,,,,622.0,80.0,71.0,120.0,2.0,20.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,557.0,,,,,,,PakSven-1990-4,,
850,0.055,0.42,0.9,0.016,0.012,0.55,0.06,,0.012,,,,780.0,220.0,46.0,20.0,1.0,70.0,,,,285.0,32.0,DC,+,2.9,200,FCA,200.0,14.0,,552.0,,,,,,,PakSven-1990-5,,
851,0.069,0.56,1.12,0.016,0.011,0.58,0.06,,0.013,,,,837.0,280.0,41.0,30.0,3.0,90.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,572.0,,,,,,,PakSven-1990-6,,
852,0.065,0.59,1.17,0.015,0.011,0.62,0.05,,0.013,,,,781.0,260.0,34.0,30.0,3.0,100.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,582.0,,,,,,,PakSven-1990-7,,
853,0.066,0.23,0.79,0.015,0.015,0.03,0.11,,0.013,,,,796.0,310.0,70.0,210.0,16.0,70.0,,,,285.0,32.0,DC,+,2.9,200,FCA,200.0,14.0,,498.0,,,,,,,PakSven-1990-8,,
854,0.067,0.39,1.12,0.014,0.016,0.03,0.1,,0.016,,,,684.0,570.0,74.0,460.0,28.0,100.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,538.0,,,,,,,PakSven-1990-9,,
855,0.062,0.37,1.1,0.015,0.014,0.02,0.08,,0.015,,,,816.0,390.0,69.0,510.0,28.0,10.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,533.0,,,,,,,PakSven-1990-10,,
856,0.055,0.34,0.81,0.01,0.009,0.02,0.05,,0.011,,,,466.0,20.0,59.0,40.0,1.0,10.0,,,,285.0,32.0,DC,+,2.9,200,FCA,200.0,14.0,,491.0,,,,,,,PakSven-1990-11,,
857,0.066,0.56,1.14,0.01,0.011,0.02,0.07,,0.016,,,,495.0,30.0,34.0,40.0,1.0,30.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,533.0,,,,,,,PakSven-1990-12,,
858,0.067,0.51,1.08,0.013,0.011,0.02,0.08,,0.015,,,,412.0,30.0,46.0,40.0,1.0,20.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,533.0,,,,,,,PakSven-1990-13,,
859,0.054,0.5,1.68,0.009,0.015,0.01,0.1,,0.008,,,,690.0,70.0,48.0,110.0,1.0,20.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,557.0,,,,,,,PakSven-1990-14,,
860,0.046,0.53,1.74,0.008,0.015,0.01,0.09,,0.006,,,,736.0,80.0,37.0,130.0,1.0,20.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,552.0,,,,,,,PakSven-1990-15,,
861,0.07,0.46,1.19,0.01,0.018,0.01,0.1,,0.016,,,,771.0,430.0,46.0,370.0,19.0,70.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,538.0,,,,,,,PakSven-1990-16,,
862,0.059,0.46,1.25,0.009,0.015,0.01,0.06,,0.013,,,,788.0,410.0,57.0,440.0,19.0,60.0,,,,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,,535.0,,,,,,,PakSven-1990-17,,
1307,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,440.0,540.0,24.0,67.0,,,,,Mart-A,,
1308,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-80.0,9.0,,,Mart-Aa,,
1309,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-70.0,9.0,,,Mart-Ab,,
1310,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-60.0,9.0,,,Mart-Ac,,
1311,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-40.0,19.0,,,Mart-Ad,,
1312,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-30.0,28.0,,,Mart-Ae,,
1313,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,-20.0,43.0,,,Mart-Af,,
1314,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,0.0,117.0,,,Mart-Ag,,
1315,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,20.0,179.0,,,Mart-Ah,,
1316,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,40.0,204.0,,,Mart-Ai,,
1317,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,60.0,210.0,,,Mart-Aj,,
1318,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,,,,891.0,,97.0,,,,0.009,0.01,0.008,300.0,28.0,DC,+,2.04,150,FCA,690.0,10.0,,,,,70.0,210.0,,,Mart-Ak,,
1319,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,,,,768.0,,266.0,,,,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,506.0,598.0,22.0,70.0,,,,,Mart-B,,
1320,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,,,,768.0,,266.0,,,,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,,,,,-70.0,6.0,,,Mart-Ba,,
1321,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,,,,768.0,,266.0,,,,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,,,,,-60.0,6.0,,,Mart-Bs,,
